Crop,Year,Season,Cultivated Area,Harvested Area,Production of crop,yield of major crop (kg/ha)
Maize,2020,A,221521.00,221521.00,353999.00,1598.00
Maize,2020,B,72918.00,72918.00,94634.00,1298.00
Maize,2020,C,-,-,-,-
Maize,2021,A,236642.00,236642.00,378641.00,1600.00
Maize,2021,B,80570.00,80570.00,104041.00,1291.00
Maize,2021,C,-,-,-,-
Maize,2022,A,219683.00,218689.00,348907.00,1595.00
Maize,2022,B,81339.00,81282.00,109615.00,1349.00
Maize,2023,C,-,-,-,-
Sorghum,2020,A,33295.00,33295.00,42231.00,1268.00
Sorghum,2020,B,136124.00,136124.00,128258.00,942.20
Sorghum,2020,C,-,-,-,-
Sorghum,2021,A,33636.00,33636.00,44039.00,1309.00
Sorghum,2021,B,133033.00,133033.00,134331.00,1010.00
Sorghum,2021,C,-,-,-,-
Sorghum,2022,A,37469.00,37469.00,45016.00,1201.00
Sorghum,2022,B,139793.00,139792.00,147411.00,1055.00
Sorghum,2022,C,-,-,-,-
Paddy rice,2020,A,14507.00,14507.00,52225.00,3600.00
Paddy rice,2020,B,15077.00,15077.00,64279.00,4264.00
Paddy rice,2020,C,-,-,-,-
Paddy rice,2021,A,15374.00,15374.00,63950.00,4160.00
Paddy rice,2021,B,16302.00,16302.00,67808.00,4159.00
Paddy rice,2021,C,-,-,-,-
Paddy rice,2022,A,15840.00,15779.00,67002.00,4246.00
Paddy rice,2022,B,16517.00,16474.00,68072.00,4132.00
Paddy rice,2022,C,-,-,-,-
Wheat,2020,A,4187.00,4187.00,4138.00,988.00
Wheat,2020,B,8122.00,8122.00,8673.00,1068.00
Wheat,2020,C,-,-,-,-
Wheat,2021,A,4418.00,4418.00,4500.00,1018.00
Wheat,2021,B,8749.00,8749.00,9184.00,1050.00
Wheat,2021,C,-,-,-,-
Wheat,2022,A,3495.00,3495.00,4019.00,1150.00
Wheat,2022,B,8482.00,8482.00,9858.00,1162.00
Wheat,2022,C,-,-,-,-
Cassava,2020,A,190447.00,41160.00,578545.00,14056.00
Cassava,2020,B,192156.00,46509.00,701037.00,15073.00
Cassava,2020,C,-,-,-,-
Cassava,2021,A,200313.00,42284.00,601291.00,14220.00
Cassava,2021,B,147320.00,47837.00,718584.00,15021.00
Cassava,2021,C,-,-,-,-
Cassava,2022,A,186204.00,45418.00,637856.00,14044.00
Cassava,2022,B,152470.00,48494.00,737284.00,15204.00
Cassava,2022,C,-,-,-,-
Sweet potato,2020,A,89427.00,89427.00,635007.00,7101.00
Sweet potato,2020,B,84545.00,84545.00,611425.00,7232.00
Sweet potato,2020,C,5583.00,5583.00,29182.00,-
Sweet potato,2021,A,99496.00,99496.00,667346.00,6707.00
Sweet potato,2021,B,87762.00,87762.00,632614.00,7208.00
Sweet potato,2021,C,5226.00,5226.00,28790.00,-
Sweet potato,2022,A,97771.00,97767.00,694320.00,7102.00
Sweet potato,2022,B,92056.00,86589.00,649445.00,7500.00
Sweet potato,2022,C,5079.00,5079.00,28980.00,5706.00
Irish potato,2020,A,51516.00,51516.00,427471.00,8298.00
Irish potato,2020,B,43950.00,43950.00,352441.00,8019.00
Irish potato,2020,C,9028.00,9028.00,78609.00,-
Irish potato,2021,A,52196.00,52196.00,463562.00,8881.00
Irish potato,2021,B,51595.00,51595.00,393371.00,7624.00
Irish potato,2021,C,9667.00,9667.00,81348.00,-
Irish potato,2022,A,56442.00,56442.00,486075.00,8612.00
Irish potato,2022,B,52858.00,52844.00,331016.00,6264.00
Irish potato,2022,C,10458.00,10458.00,90916.00,8694.00
Yams & Taro,2020,A,18058.00,14450.00,85414.00,5911.00
Yams & Taro,2020,B,14565.00,14565.00,102628.00,7046.00
Yams & Taro,2020,C, - ,-,-,-
Yams & Taro,2021,A,17119.00,15612.00,93819.00,6009.00
Yams & Taro,2021,B,15088.00,15017.00,107037.00,7128.00
Yams & Taro,2021,C, - , - ,-,-
Yams & Taro,2022,A,40424.00,13231.00,85245.00,6443.00
Yams & Taro,2022,B,19245.00,15928.00,117647.00,7386.00
Yams & Taro,2022,C, - , - ,-,-
Banana,2020,A,272500.00,99876.00,1100082.00,10861.00
Banana,2020,B,207635.00,79107.00,931991.00,11781.00
Banana,2020,C,-,-,-,-
Banana,2021,A,280779.00,105474.00,1152365.00,10926.00
Banana,2021,B,202807.00,82137.00,991501.00,12071.00
Banana,2021,C,-,-,-,-
Banana,2022,A,259505.00,108476.00,1192331.00,10992.00
Banana,2022,B,213322.00,83314.00,1016137.00,12196.00
Banana,2022,C,-,-,-,-
Cooking banana ,2020,A,106409.00,35735.00,502972.00,13794.00
Cooking banana ,2020,B,62054.00,22089.00,410259.00,18573.00
Cooking banana ,2020,C,-,-,-,-
Cooking banana ,2021,A,108451.00,38916.00,529788.00,13614.00
Cooking banana ,2021,B,71262.00,24193.00,439405.00,18163.00
Cooking banana ,2021,C,-,-,-,-
Cooking banana ,2022,A,96434.00,39729.00,545588.00,13733.00
Cooking banana ,2022,B,73554.00,24565.00,450427.00,18336.00
Cooking banana ,2022,C,-,-,-,-
Dessert banana ,2020,A,39688.00,14980.00,120868.00,7927.00
Dessert banana ,2020,B,30911.00,11337.00,138090.00,12180.00
Dessert banana ,2020,C,-,-,-,-
Dessert banana ,2021,A,41394.00,15345.00,124546.00,8116.00
Dessert banana ,2021,B,37668.00,12174.00,142487.00,11704.00
Dessert banana ,2021,C,-,-,-,-
Dessert banana ,2022,A,36598.00,15927.00,126838.00,7964.00
Dessert banana ,2022,B,37511.00,12513.00,145753.00,11648.00
Dessert banana ,2022,C,-,-,-,-
Banana for beer ,2020,A,126402.00,49161.00,476241.00,9606.00
Banana for beer ,2020,B,114670.00,45681.00,383641.00,8398.00
Banana for beer ,2020,C,-,-,-,-
Banana for beer ,2021,A,130934.00,51213.00,498031.00,9725.00
Banana for beer ,2021,B,93877.00,45770.00,409609.00,8949.00
Banana for beer ,2021,C,-,-,-,-
Banana for beer ,2022,A,126472.00,52820.00,519904.00,9843.00
Banana for beer ,2022,B,102257.00,46236.00,419956.00,9083.00
Banana for beer ,2022,C,-,-,-,-
Bean,2020,A,362199.00,362199.00,226570.00,626.00
Bean,2020,B,278213.00,283104.00,209383.00,740.00
Bean,2020,C,2681.00,2681.00,2780.00,1036.90
Bean,2021,A,389149.00,389149.00,258851.00,665.00
Bean,2021,B,301658.00,301584.00,229559.00,761.00
Bean,2021,C,3748.00,3748.00,3566.00,952.00
Bean,2022,A,362439.00,362438.00,235818.00,651.00
Bean,2022,B,268634.00,268628.00,210290.00,783.00
Bean,2022,C,3292.00,3292.00,3381.00,1027.00
Pea,2020,A,10530.00,10530.00,7933.00,753.00
Pea,2020,B,6229.00,6229.00,5668.00,910.00
Pea,2020,C,502.00,502.00,352.00,-
Pea,2021,A,11116.00,11116.00,8617.00,775.00
Pea,2021,B,7521.00,7521.00,6549.00,871.00
Pea,2021,C,542.00,542.00,469.00,-
Pea,2022,A,10872.00,10872.00,8247.00,759.00
Pea,2022,B,7034.00,7034.00,5373.00,764.00
Pea,2022,C,581.00,581.00,445.00,765.00
Groundnut,2020,A,14609.00,14609.00,5762.00,1598.00
Groundnut,2020,B,21292.00,21292.00,10542.00,1298.00
Groundnut,2020,C,-,-,-,-
Groundnut,2021,A,15978.00,15978.00,6313.00,1600.00
Groundnut,2021,B,21534.00,21534.00,10763.00,1291.00
Groundnut,2021,C,-,-,-,-
Groundnut,2022,A,15144.00,15118.00,5445.00,360.00
Groundnut,2022,B,19545.00,19545.00,10172.00,520.00
Groundnut,2022,C,-,-,-,-
Soybean,2020,A,24677.00,24677.00,12284.00,1268.00
Soybean,2020,B,22974.00,22974.00,10955.00,942.20
Soybean,2020,C,837.00,837.00,516.00,-
Soybean,2021,A,27493.00,27493.00,14237.00,1309.00
Soybean,2021,B,25574.00,25574.00,12194.00,1010.00
Soybean,2021,C,741.00,741.00,426.00,-
Soybean,2022,A,26996.00,26996.00,13741.00,509.00
Soybean,2022,B,37251.00,37229.00,19530.00,525.00
Soybean,2022,C,1034.00,1034.00,785.00,759.00
Vegetables ,2020,A,18246.00,18246.00,160114.00,3600.00
Vegetables ,2020,B,15939.00,15945.00,166272.00,4264.00
Vegetables ,2020,C,5912.00,5912.00,52492.00,-
Vegetables ,2021,A,20181.00,20181.00,159669.00,4160.00
Vegetables ,2021,B,15574.00,15574.00,172936.00,4159.00
