District,Against_erosion,Irrigation,Agro_forestry
 Bugesera ,80.29,17.50,63.26
 Burera ,92.42,0.40,37.12
 Gakenke ,98.27,2.98,61.13
 Gasabo ,89.67,9.42,0.00
 Gatsibo ,95.99,6.70,68.02
 Gicumbi ,95.02,3.15,42.03
 Gisagara ,90.20,15.08,51.70
 Huye ,95.04,16.23,51.92
 Kamonyi ,93.28,13.03,45.16
 Karongi ,94.59,5.88,56.80
 Kayonza ,74.79,18.68,54.40
 Kicukiro ,64.42,12.98,74.47
 Kirehe ,84.27,10.96,65.30
 Muhanga ,97.29,6.83,49.26
 Musanze ,91.37,0.40,60.46
 Ngoma ,90.03,10.50,71.78
 Ngororero ,97.30,0.97,46.71
 Nyabihu ,98.43,1.34,73.55
 Nyagatare ,83.66,7.41,54.62
 Nyamagabe ,99.51,4.61,48.17
 Nyamasheke ,97.91,3.94,63.93
 Nyanza ,97.07,13.50,43.12
 Nyarugenge ,76.80,11.86,68.22
 Nyaruguru ,97.38,3.21,55.45
 Rubavu ,93.83,0.00,50.23
 Ruhango ,95.41,9.94,55.50
 Rulindo ,93.45,15.12,58.17
 Rusizi ,93.13,7.74,60.22
 Rutsiro ,97.28,0.74,57.20
 Rwamagana ,96.60,14.09,76.76
