Agricultural area,Season,Value
"Total land area (,000Ha)",A,2377
"Total land area (,000Ha)",B,2377
"Total land area (,000Ha)",C,0
"Agriculture land (,000Ha)",A,1402
"Agriculture land (,000Ha)",B,1393
"Agriculture land (,000Ha)",C,0
Percentage of agricultural area,A,59
Percentage of agricultural area,B,59
Percentage of agricultural area,C,0
"Area under permanent crops (,000Ha)",A,556
"Area under permanent crops (,000Ha)",B,545
"Area under permanent crops (,000Ha)",C,0
"Area under permanent pasture (,000Ha)",A,135
"Area under permanent pasture (,000Ha)",B,133
"Area under permanent pasture (,000Ha)",C,0
" Agricultural land under Modern irrigated (,000Ha)",A,27
" Agricultural land under Modern irrigated (,000Ha)",B,21
" Agricultural land under Modern irrigated (,000Ha)",C,1
"Area under seasonal crops(,000Ha)",A,1067
"Area under seasonal crops(,000Ha)",B,1014
"Area under seasonal crops(,000Ha)",C,0
"Temporary fallow land(,000Ha)",A,95
"Temporary fallow land(,000Ha)",B,125
"Temporary fallow land(,000Ha)",C,0
"Temporarily meadow and pasture(,000Ha)",A,10
"Temporarily meadow and pasture(,000Ha)",B,13
"Temporarily meadow and pasture(,000Ha)",C,0
