District ,lat,lon
bugesera,-2.23456,30.14825
burera,-1.47394,29.83468
gakenke,-1.6981,29.78543
gasabo,-1.8847,30.13141
gatsibo,-1.59185,30.45535
gicumbi,-1.61647,30.12104
gisagara,-2.61811,29.85022
huye,-2.51704,29.69603
kamonyi,-2.00521,29.89817
karongi,-2.1296,29.36172
kayonza,-1.85101,30.65102
kicukiro,-2.00391,30.14696
kirehe,-2.25659,30.72617
muhanga,-1.93912,29.71805
musanze,-1.50763,29.60662
ngoma,-2.18532,30.46961
ngororero,-1.87822,29.56904
nyabihu,-1.65275,29.50684
nyagatare,-1.31455,30.37242
nyamagabe,-2.40819,29.46797
nyamasheke,-2.36154,29.14791
nyanza,-2.33692,29.79451
nyarugenge,-1.99095,30.02127
nyaruguru,-2.69845,29.52369
rubavu,-1.68126,29.32932
ruhango,-2.19957,29.76989
rulondo,-1.73828,29.99794
rusizi,-2.57016,29.07535
rutsiro,-1.9145,29.31507
rwamagana,-1.97281,30.35428
