District,Season,Fertlizer apply,Agricultural area under fertirizer application
Bugesera,A,Inorganic Fertilizers,20323.49
Bugesera,B,Inorganic Fertilizers,14500
Bugesera,C,Inorganic Fertilizers,85.56758
Bugesera,A,Organic fertilizers,28611.85
Bugesera,B,Organic fertilizers,19653.89
Bugesera,C,Organic fertilizers,68.20513
Burera,A,Inorganic Fertilizers,13473.97
Burera,B,Inorganic Fertilizers,9824.095
Burera,C,Inorganic Fertilizers,2511.197
Burera,A,Organic fertilizers,24621.54
Burera,B,Organic fertilizers,20877.07
Burera,C,Organic fertilizers,2830.99
Gakenke,A,Inorganic Fertilizers,24449.94
Gakenke,B,Inorganic Fertilizers,16249.3
Gakenke,C,Inorganic Fertilizers,243.4312
Gakenke,A,Organic fertilizers,38172.27
Gakenke,B,Organic fertilizers,32483.19
Gakenke,C,Organic fertilizers,253.2965
Gasabo,A,Inorganic Fertilizers,4141.23
Gasabo,B,Inorganic Fertilizers,2647.496
Gasabo,C,Inorganic Fertilizers,208.8273
Gasabo,A,Organic fertilizers,11320.66
Gasabo,B,Organic fertilizers,9678.088
Gasabo,C,Organic fertilizers,285.7385
Gatsibo,A,Inorganic Fertilizers,22164.88
Gatsibo,B,Inorganic Fertilizers,14288.94
Gatsibo,C,Inorganic Fertilizers,91.97259
Gatsibo,A,Organic fertilizers,44675.05
Gatsibo,B,Organic fertilizers,36612.56
Gatsibo,C,Organic fertilizers,110.2357
Gicumbi,A,Inorganic Fertilizers,12950.43
Gicumbi,B,Inorganic Fertilizers,9520.554
Gicumbi,C,Inorganic Fertilizers,196.2245
Gicumbi,A,Organic fertilizers,36500.47
Gicumbi,B,Organic fertilizers,31044.71
Gicumbi,C,Organic fertilizers,318.1954
Gisagara,A,Inorganic Fertilizers,14058.44
Gisagara,B,Inorganic Fertilizers,8511.836
Gisagara,C,Inorganic Fertilizers,209.6542
Gisagara,A,Organic fertilizers,23668.33
Gisagara,B,Organic fertilizers,16239.44
Gisagara,C,Organic fertilizers,174.9485
Huye,A,Inorganic Fertilizers,7769.172
Huye,B,Inorganic Fertilizers,5453.826
Huye,C,Inorganic Fertilizers,219.4297
Huye,A,Organic fertilizers,20623.26
Huye,B,Organic fertilizers,16359.28
Huye,C,Organic fertilizers,409.8657
Kamonyi,A,Inorganic Fertilizers,6573.773
Kamonyi,B,Inorganic Fertilizers,3201.9
Kamonyi,C,Inorganic Fertilizers,127.7377
Kamonyi,A,Organic fertilizers,25081.82
Kamonyi,B,Organic fertilizers,20629.45
Kamonyi,C,Organic fertilizers,313.3272
Karongi,A,Inorganic Fertilizers,9635.457
Karongi,B,Inorganic Fertilizers,6133.18
Karongi,C,Inorganic Fertilizers,28.38785
Karongi,A,Organic fertilizers,22171.82
Karongi,B,Organic fertilizers,18826.62
Karongi,C,Organic fertilizers,68.77322
Kayonza,A,Inorganic Fertilizers,19082.9
Kayonza,B,Inorganic Fertilizers,16044.99
Kayonza,C,Inorganic Fertilizers,137.7362
Kayonza,A,Organic fertilizers,29576.82
Kayonza,B,Organic fertilizers,21657.26
Kayonza,C,Organic fertilizers,294.5896
Kicukiro,A,Inorganic Fertilizers,1819.541
Kicukiro,B,Inorganic Fertilizers,1519.873
Kicukiro,C,Inorganic Fertilizers,3.74389
Kicukiro,A,Organic fertilizers,2558.326
Kicukiro,B,Organic fertilizers,2085.154
Kicukiro,C,Organic fertilizers,21.80058
Kirehe,A,Inorganic Fertilizers,28063.74
Kirehe,B,Inorganic Fertilizers,14554.98
Kirehe,C,Inorganic Fertilizers,158.1498
Kirehe,A,Organic fertilizers,39294.57
Kirehe,B,Organic fertilizers,20408.11
Kirehe,C,Organic fertilizers,156.493
Muhanga,A,Inorganic Fertilizers,7276.537
Muhanga,B,Inorganic Fertilizers,3968.819
Muhanga,C,Inorganic Fertilizers,82.30905
Muhanga,A,Organic fertilizers,23302.04
Muhanga,B,Organic fertilizers,19227.32
Muhanga,C,Organic fertilizers,300.8478
Musanze,A,Inorganic Fertilizers,12494.66
Musanze,B,Inorganic Fertilizers,11026.83
Musanze,C,Inorganic Fertilizers,1862.456
Musanze,A,Organic fertilizers,17668.15
Musanze,B,Organic fertilizers,15616.85
Musanze,C,Organic fertilizers,2296.66
Ngoma,A,Inorganic Fertilizers,16577.92
Ngoma,B,Inorganic Fertilizers,3948.615
Ngoma,C,Inorganic Fertilizers,47.14578
Ngoma,A,Organic fertilizers,29545.81
Ngoma,B,Organic fertilizers,12889.32
Ngoma,C,Organic fertilizers,52.38154
Ngororero,A,Inorganic Fertilizers,11329.26
Ngororero,B,Inorganic Fertilizers,10410.3
Ngororero,C,Inorganic Fertilizers,56.09709
Ngororero,A,Organic fertilizers,27201.48
Ngororero,B,Organic fertilizers,23529.45
Ngororero,C,Organic fertilizers,101.149
Nyabihu,A,Inorganic Fertilizers,16981.61
Nyabihu,B,Inorganic Fertilizers,13528.54
Nyabihu,C,Inorganic Fertilizers,3189.615
Nyabihu,A,Organic fertilizers,19010.16
Nyabihu,B,Organic fertilizers,15213.09
Nyabihu,C,Organic fertilizers,2774.443
Nyagatare,A,Inorganic Fertilizers,28153.56
Nyagatare,B,Inorganic Fertilizers,23125.39
Nyagatare,C,Inorganic Fertilizers,763.3031
Nyagatare,A,Organic fertilizers,29306.9
Nyagatare,B,Organic fertilizers,23378.57
Nyagatare,C,Organic fertilizers,493.4755
Nyamagabe,A,Inorganic Fertilizers,11466.66
Nyamagabe,B,Inorganic Fertilizers,8771.043
Nyamagabe,C,Inorganic Fertilizers,101.3462
Nyamagabe,A,Organic fertilizers,24001.56
Nyamagabe,B,Organic fertilizers,21201.05
