District,Season,Agriculture land under modern irrigation
Bugesera,A,2907.00
Bugesera,B,1533.25
Bugesera,C,113.94
Burera,A,-
Burera,B,-
Burera,C,11.62
Gakenke,A,-
Gakenke,B,60.89
Gakenke,C,26.87
Gasabo,A,319.00
Gasabo,B,324.61
Gasabo,C,7.99
Gatsibo,A,2103.00
Gatsibo,B,2398.56
Gatsibo,C,-
Gicumbi,A,-
Gicumbi,B,79.73
Gicumbi,C,5.07
Gisagara,A,1627.00
Gisagara,B,2174.20
Gisagara,C,36.36
Huye,A,1085.00
Huye,B,1012.98
Huye,C,55.01
Kamonyi,A,397.00
Kamonyi,B,187.75
Kamonyi,C,2.12
Karongi,A,124.00
Karongi,B,5.93
Karongi,C,7.61
Kayonza,A,3419.00
Kayonza,B,2354.98
Kayonza,C,-
Kicukiro,A,93.00
Kicukiro,B,154.75
Kicukiro,C,3.39
Kirehe,A,3577.00
Kirehe,B,2536.14
Kirehe,C,8.80
Muhanga,A,640.00
Muhanga,B,185.51
Muhanga,C,10.51
Musanze,A,-
Musanze,B,-
Musanze,C,-
Ngoma,A,970.00
Ngoma,B,885.59
Ngoma,C,43.87
Ngororero,A,20.00
Ngororero,B,-
Ngororero,C,44.89
Nyabihu,A,52.00
Nyabihu,B,-
Nyabihu,C,-
Nyagatare,A,3165.00
Nyagatare,B,2696.57
Nyagatare,C,499.10
Nyamagabe,A,23.00
Nyamagabe,B,15.07
Nyamagabe,C,12.58
Nyamasheke,A,526.00
Nyamasheke,B,360.22
Nyamasheke,C,-
Nyanza,A,903.00
Nyanza,B,697.49
Nyanza,C,72.31
Nyarugenge,A,0.00
Nyarugenge,B,0.00
Nyarugenge,C,1.16
Nyaruguru,A,73.00
Nyaruguru,B,115.98
Nyaruguru,C,0.51
Rubavu,A,-
Rubavu,B,-
Rubavu,C,-
Ruhango,A,1263.00
Ruhango,B,1036.22
Ruhango,C,59.11
Rulindo,A,904.00
Rulindo,B,115.43
Rulindo,C,115.87
Rusizi,A,1527.00
Rusizi,B,1509.43
Rusizi,C,9.07
Rutsiro,A,57.00
Rutsiro,B,-
Rutsiro,C,-
Rwamagana,A,1361.00
Rwamagana,B,654.39
Rwamagana,C,-
