District,Crop,Season,Average yield
Bugesera,Maize,A,1517.80
Bugesera,Sorghum,A,743.41
Bugesera,Paddy rice,A,5703.76
Bugesera,Wheat,A,0.00
Bugesera,Other cereals,A,610.67
Bugesera,Cassava,A,16634.31
Bugesera,Sweet potato,A,7320.47
Bugesera,Irish potato,A,2596.29
Bugesera,Yams & Taro,A,0.00
Bugesera,Bananas,A,10619.29
Bugesera,Cooking banana,A,14007.08
Bugesera,Dessert banana,A,7797.69
Bugesera,Banana for beer,A,9008.77
Bugesera,Bean,A,573.64
Bugesera,Bush bean,A,573.69
Bugesera,Climbing bean,A,559.29
Bugesera,Pea,A,673.63
Bugesera,Groundnuts,A,307.34
Bugesera,Soybean,A,211.85
Bugesera,vegetables,A,6708.58
Bugesera,Fruits,A,3526.20
Bugesera,Fodder crops,A,10859.68
Bugesera,Other crops,A,4900.59
Bugesera,Maize,B,1222.32
Bugesera,Sorghum,B,757.97
Bugesera,Paddy rice,B,5873.95
Bugesera,Wheat,B,0.00
Bugesera,Chia seeds,B,483.69
Bugesera,Other Cereals,B,1068.28
Bugesera,Cassava,B,16348.38
Bugesera,Sweet potatoes,B,4155.03
Bugesera,Irish potatoes,B,1992.11
Bugesera,Yams & Taro,B,6747.42
Bugesera,Bananas,B,9977.68
Bugesera,Cooking Banana,B,13458.13
Bugesera,Dessert banana,B,12546.83
Bugesera,Banana for beer,B,8124.49
Bugesera,Beans,B,679.73
Bugesera,Bush bean,B,677.78
Bugesera,Climbing bean,B,861.90
Bugesera,Peas,B,444.24
Bugesera,Ground nuts,B,519.37
Bugesera,Soya beans,B,352.95
Bugesera,Vegetables,B,11340.61
Bugesera,Fruits,B,5701.57
Bugesera,Fodder crops,B,16406.73
Bugesera,Other crops,B,2780.67
Bugesera,Tubers and Roots,C,5502.05
Bugesera,Sweet potatoes,C,5526.33
Bugesera,Irish potatoes,C,4990.45
Bugesera,Bean,C,1084.52
Bugesera,Bush bean,C,1084.52
Bugesera,Climbing bean,C,0.00
Bugesera,Peas,C,0.00
Bugesera,Soya beans,C,846.56
Bugesera,Vegetables,C,10333.57
Burera,Maize,A,2031.18
Burera,Sorghum,A,1509.71
Burera,Paddy rice,A,0.00
Burera,Wheat,A,1686.84
Burera,Other cereals,A,1354.44
Burera,Cassava,A,11953.77
Burera,Sweet potato,A,10235.13
Burera,Irish potato,A,10874.67
Burera,Yams & Taro,A,5920.06
Burera,Bananas,A,10536.33
Burera,Cooking banana,A,13555.42
Burera,Dessert banana,A,5619.07
Burera,Banana for beer,A,8367.30
Burera,Bean,A,811.18
Burera,Bush bean,A,561.59
Burera,Climbing bean,A,826.49
Burera,Pea,A,640.65
Burera,Groundnuts,A,0.00
Burera,Soybean,A,0.00
Burera,vegetables,A,3736.07
Burera,Fruits,A,1025.84
Burera,Fodder crops,A,20215.05
Burera,Other crops,A,19280.15
Burera,Maize,B,1114.81
Burera,Sorghum,B,1402.98
Burera,Paddy rice,B,0.00
Burera,Wheat,B,1501.86
Burera,Chia seeds,B,0.00
Burera,Other Cereals,B,924.41
Burera,Cassava,B,11815.32
Burera,Sweet potatoes,B,8000.92
Burera,Irish potatoes,B,7710.14
Burera,Yams & Taro,B,7696.39
Burera,Bananas,B,12960.90
Burera,Cooking Banana,B,19099.03
Burera,Dessert banana,B,12186.82
Burera,Banana for beer,B,7646.78
Burera,Beans,B,1258.14
Burera,Bush bean,B,850.50
Burera,Climbing bean,B,1275.74
Burera,Peas,B,823.80
Burera,Ground nuts,B,0.00
Burera,Soya beans,B,0.00
Burera,Vegetables,B,9782.56
Burera,Fruits,B,2855.38
Burera,Fodder crops,B,9345.13
Burera,Other crops,B,161.28
Burera,Tubers and Roots,C,7413.37
Burera,Sweet potatoes,C,5192.83
Burera,Irish potatoes,C,7772.68
Burera,Bean,C,0.00
Burera,Bush bean,C,0.00
Burera,Climbing bean,C,0.00
Burera,Peas,C,0.00
Burera,Soya beans,C,0.00
Burera,Vegetables,C,11190.99
Gakenke,Maize,A,1652.97
Gakenke,Sorghum,A,0.00
Gakenke,Paddy rice,A,1478.26
Gakenke,Wheat,A,604.14
Gakenke,Other cereals,A,616.67
Gakenke,Cassava,A,12667.92
Gakenke,Sweet potato,A,6606.73
Gakenke,Irish potato,A,5704.15
Gakenke,Yams & Taro,A,6140.91
Gakenke,Bananas,A,11021.17
Gakenke,Cooking banana,A,12525.88
Gakenke,Dessert banana,A,8799.46
Gakenke,Banana for beer,A,11019.27
Gakenke,Bean,A,841.62
Gakenke,Bush bean,A,507.86
Gakenke,Climbing bean,A,946.24
Gakenke,Pea,A,831.66
Gakenke,Groundnuts,A,905.24
Gakenke,Soybean,A,542.46
Gakenke,vegetables,A,7120.88
Gakenke,Fruits,A,11528.46
Gakenke,Fodder crops,A,11268.95
Gakenke,Other crops,A,8186.49
Gakenke,Maize,B,914.98
Gakenke,Sorghum,B,840.85
Gakenke,Paddy rice,B,3942.16
Gakenke,Wheat,B,1200.83
Gakenke,Chia seeds,B,0.00
Gakenke,Other Cereals,B,0.00
Gakenke,Cassava,B,18448.40
