District,Season,Used iproved seed_perc
Bugesera,A,45.22
Bugesera,B,18.2
Bugesera,C,41.21
Burera,A,39.52
Burera,B,3.77
Burera,C,3.15
Gakenke,A,34.38
Gakenke,B,2.81
Gakenke,C,34.67
Gasabo,A,44.68
Gasabo,B,10.19
Gasabo,C,56.6
Gatsibo,A,38.75
Gatsibo,B,11.82
Gatsibo,C,49
Gicumbi,A,24.71
Gicumbi,B,5.85
Gicumbi,C,3.66
Gisagara,A,40.08
Gisagara,B,7.53
Gisagara,C,22.73
Huye,A,37.45
Huye,B,8.1
Huye,C,11.36
Kamonyi,A,29.54
Kamonyi,B,8.27
Kamonyi,C,40.88
Karongi,A,30.12
Karongi,B,6
Karongi,C,44.03
Kayonza,A,43.1
Kayonza,B,17.77
Kayonza,C,52.13
Kicukiro,A,49.52
Kicukiro,B,7.92
Kicukiro,C,8.51
Kirehe,A,45.66
Kirehe,B,3.09
Kirehe,C,24.55
Muhanga,A,16.17
Muhanga,B,4.09
Muhanga,C,22.36
Musanze,A,32.39
Musanze,B,10.66
Musanze,C,13.38
Ngoma,A,40.53
Ngoma,B,5.21
Ngoma,C,46.22
Ngororero,A,15.06
Ngororero,B,9.44
Ngororero,C,4.65
Nyabihu,A,17.67
Nyabihu,B,16.32
Nyabihu,C,12.98
Nyagatare,A,37.88
Nyagatare,B,25.78
Nyagatare,C,22.22
Nyamagabe,A,17.72
Nyamagabe,B,2.97
Nyamagabe,C,25.26
Nyamasheke,A,22.27
Nyamasheke,B,4.2
Nyamasheke,C,46.26
Nyanza,A,35.42
Nyanza,B,8.86
Nyanza,C,16.84
Nyarugenge,A,22.4
Nyarugenge,B,9.29
Nyarugenge,C,29.49
Nyaruguru,A,34.4
Nyaruguru,B,4.42
Nyaruguru,C,14.94
Rubavu,A,12.84
Rubavu,B,15.7
Rubavu,C,35.38
Ruhango,A,23.14
Ruhango,B,6.31
Ruhango,C,30.33
Rulindo,A,33.86
Rulindo,B,5.42
Rulindo,C,40.24
Rusizi,A,37.24
Rusizi,B,3.58
Rusizi,C,54.33
Rutsiro,A,18.07
Rutsiro,B,2.72
Rutsiro,C,8.64
Rwamagana,A,54.5
Rwamagana,B,9.51
Rwamagana,C,36.42
