District,Season,Pesticide,Percentage_use
Bugesera,A,Dithane,20.78
Bugesera,A,Ridomil,0.44
Bugesera,A,Dimethoate,29.76
Bugesera,A,Cypermethrin,10.51
Bugesera,A,Dursiban,0.00
Bugesera,A,Rocket,32.73
Bugesera,A,Beam,0.02
Bugesera,A,Others,5.76
Bugesera,B,Dithane,12.77
Bugesera,B,Ridomil,0.00
Bugesera,B,Dimethoate,8.51
Bugesera,B,Cypermethrine,12.77
Bugesera,B,Pilkare,0.00
Bugesera,B,Rocket,51.06
Bugesera,B,Beam,8.51
Bugesera,B,Other ,6.38
Bugesera,C,Dithane,21.88
Bugesera,C,Ridomil,2.23
Bugesera,C,Dimethoate,16.07
Bugesera,C,Cypermethrin,7.59
Bugesera,C,Rocket,35.27
Bugesera,C,Beam,0.00
Bugesera,C,Others,16.98
Burera,A,Dithane,27.67
Burera,A,Ridomil,7.38
Burera,A,Dimethoate,3.32
Burera,A,Cypermethrin,35.12
Burera,A,Dursiban,0.00
Burera,A,Rocket,23.58
Burera,A,Beam,0.00
Burera,A,Others,2.92
Burera,B,Dithane,67.65
Burera,B,Ridomil,0.74
Burera,B,Dimethoate,0.00
Burera,B,Cypermethrine,11.76
Burera,B,Pilkare,0.00
Burera,B,Rocket,12.50
Burera,B,Beam,0.00
Burera,B,Other ,7.35
Burera,C,Dithane,43.31
Burera,C,Ridomil,4.39
Burera,C,Dimethoate,10.25
Burera,C,Cypermethrin,23.64
Burera,C,Rocket,12.97
Burera,C,Beam,0.00
Burera,C,Others,5.46
Gakenke,A,Dithane,12.48
Gakenke,A,Ridomil,7.55
Gakenke,A,Dimethoate,1.47
Gakenke,A,Cypermethrin,30.02
Gakenke,A,Dursiban,0.00
Gakenke,A,Rocket,41.87
Gakenke,A,Beam,0.00
Gakenke,A,Others,6.62
Gakenke,B,Dithane,8.03
Gakenke,B,Ridomil,2.19
Gakenke,B,Dimethoate,5.11
Gakenke,B,Cypermethrine,26.28
Gakenke,B,Pilkare,0.00
Gakenke,B,Rocket,51.09
Gakenke,B,Beam,0.00
Gakenke,B,Other ,7.30
Gakenke,C,Dithane,15.00
Gakenke,C,Ridomil,15.00
Gakenke,C,Dimethoate,1.50
Gakenke,C,Cypermethrin,16.00
Gakenke,C,Rocket,21.50
Gakenke,C,Beam,0.00
Gakenke,C,Others,31.00
Gasabo,A,Dithane,13.46
Gasabo,A,Ridomil,0.01
Gasabo,A,Dimethoate,2.57
Gasabo,A,Cypermethrin,1.14
Gasabo,A,Dursiban,0.00
Gasabo,A,Rocket,78.22
Gasabo,A,Beam,0.00
Gasabo,A,Others,4.61
Gasabo,B,Dithane,20.00
Gasabo,B,Dimethoate,1.82
Gasabo,B,Cypermethrine,7.27
Gasabo,B,Pilkare,0.00
Gasabo,B,Rocket,61.82
Gasabo,B,Beam,0.00
Gasabo,B,Other ,7.27
Gasabo,C,Dithane,20.15
Gasabo,C,Ridomil,0.00
Gasabo,C,Dimethoate,10.45
Gasabo,C,Cypermethrin,3.73
Gasabo,C,Rocket,36.57
Gasabo,C,Beam,0.00
Gasabo,C,Others,29.10
Gatsibo,A,Dithane,29.76
Gatsibo,A,Ridomil,0.38
Gatsibo,A,Dimethoate,2.15
Gatsibo,A,Cypermethrin,5.48
Gatsibo,A,Dursiban,0.00
Gatsibo,A,Rocket,51.27
Gatsibo,A,Beam,0.00
Gatsibo,A,Others,10.97
Gatsibo,B,Dithane,24.00
Gatsibo,B,Ridomil,0.00
Gatsibo,B,Dimethoate,0.00
Gatsibo,B,Cypermethrine,7.00
Gatsibo,B,Pilkare,0.00
Gatsibo,B,Rocket,33.00
Gatsibo,B,Beam,1.00
Gatsibo,B,Other ,35.00
Gatsibo,C,Dithane,28.57
Gatsibo,C,Ridomil,0.00
Gatsibo,C,Dimethoate,3.57
Gatsibo,C,Cypermethrin,5.36
Gatsibo,C,Rocket,41.07
Gatsibo,C,Beam,0.00
Gatsibo,C,Others,21.43
Gicumbi,A,Dithane,41.11
Gicumbi,A,Ridomil,4.08
Gicumbi,A,Dimethoate,0.27
Gicumbi,A,Cypermethrin,2.31
Gicumbi,A,Dursiban,0.00
Gicumbi,A,Rocket,43.24
Gicumbi,A,Beam,0.00
Gicumbi,A,Others,8.99
Gicumbi,B,Dithane,45.10
Gicumbi,B,Ridomil,1.96
Gicumbi,B,Dimethoate,0.00
Gicumbi,B,Cypermethrine,11.76
Gicumbi,B,Pilkare,0.00
Gicumbi,B,Rocket,35.29
Gicumbi,B,Beam,0.00
Gicumbi,B,Other ,5.88
Gicumbi,C,Dithane,66.42
Gicumbi,C,Ridomil,1.49
Gicumbi,C,Dimethoate,0.75
Gicumbi,C,Cypermethrin,2.99
Gicumbi,C,Rocket,17.16
Gicumbi,C,Beam,0.00
Gicumbi,C,Others,11.21
Gisagara,A,Dithane,4.16
Gisagara,A,Ridomil,0.00
Gisagara,A,Dimethoate,0.80
Gisagara,A,Cypermethrin,7.59
Gisagara,A,Dursiban,0.00
Gisagara,A,Rocket,85.73
Gisagara,A,Beam,0.01
Gisagara,A,Others,1.71
Gisagara,B,Dithane,15.79
Gisagara,B,Ridomil,0.00
Gisagara,B,Dimethoate,3.51
Gisagara,B,Cypermethrine,26.32
Gisagara,B,Pilkare,0.00
Gisagara,B,Rocket,47.37
Gisagara,B,Beam,1.75
Gisagara,B,Other ,5.26
Gisagara,C,Dithane,23.60
Gisagara,C,Ridomil,0.00
Gisagara,C,Dimethoate,3.37
Gisagara,C,Cypermethrin,10.11
Gisagara,C,Rocket,55.06
Gisagara,C,Beam,1.12
Gisagara,C,Others,6.74
Huye,A,Dithane,6.62
Huye,A,Ridomil,3.50
Huye,A,Dimethoate,0.00
Huye,A,Cypermethrin,3.08
Huye,A,Dursiban,0.00
Huye,A,Rocket,84.47
Huye,A,Beam,0.02
Huye,A,Others,2.31
Huye,B,Dithane,13.95
Huye,B,Ridomil,2.33
Huye,B,Dimethoate,0.00
Huye,B,Cypermethrine,39.53
Huye,B,Pilkare,0.00
Huye,B,Rocket,41.86
Huye,B,Beam,0.00
Huye,B,Other ,2.33
Huye,C,Dithane,17.37
Huye,C,Ridomil,0.00
Huye,C,Dimethoate,2.40
Huye,C,Cypermethrin,10.78
Huye,C,Rocket,61.08
Huye,C,Beam,0.00
Huye,C,Others,8.39
Kamonyi,A,Dithane,17.75
Kamonyi,A,Ridomil,0.31
Kamonyi,A,Dimethoate,10.35
Kamonyi,A,Cypermethrin,0.00
Kamonyi,A,Dursiban,0.00
Kamonyi,A,Rocket,70.21
Kamonyi,A,Beam,0.00
Kamonyi,A,Others,1.37
Kamonyi,B,Dithane,30.43
Kamonyi,B,Ridomil,2.17
Kamonyi,B,Dimethoate,6.52
Kamonyi,B,Cypermethrine,4.35
Kamonyi,B,Pilkare,0.00
Kamonyi,B,Rocket,45.65
Kamonyi,B,Beam,0.00
Kamonyi,B,Other ,10.87
Kamonyi,C,Dithane,28.89
Kamonyi,C,Ridomil,3.81
Kamonyi,C,Dimethoate,13.65
Kamonyi,C,Cypermethrin,2.22
Kamonyi,C,Rocket,31.43
Kamonyi,C,Beam,0.00
Kamonyi,C,Others,19.99
Karongi,A,Dithane,16.29
Karongi,A,Ridomil,0.00
Karongi,A,Dimethoate,12.21
Karongi,A,Cypermethrin,16.47
Karongi,A,Dursiban,0.85
Karongi,A,Rocket,54.18
Karongi,A,Beam,0.00
Karongi,A,Others,0.00
Karongi,B,Dithane,43.75
Karongi,B,Ridomil,0.00
Karongi,B,Dimethoate,0.00
Karongi,B,Cypermethrine,22.92
Karongi,B,Pilkare,0.00
Karongi,B,Rocket,18.75
Karongi,B,Beam,0.00
Karongi,B,Other ,14.58
Karongi,C,Dithane,30.69
Karongi,C,Ridomil,0.99
Karongi,C,Dimethoate,15.84
Karongi,C,Cypermethrin,14.85
Karongi,C,Rocket,25.74
Karongi,C,Beam,0.00
Karongi,C,Others,11.88
Kayonza,A,Dithane,37.42
Kayonza,A,Ridomil,0.04
Kayonza,A,Dimethoate,7.02
Kayonza,A,Cypermethrin,6.65
Kayonza,A,Dursiban,0.00
