District,Season,Sowing Date,Percentage of famers
Bugesera,A,Before 01/09,1.99
Bugesera,A,Between 01-15 /09,8.37
Bugesera,A,Between 16- 30/09,16.53
Bugesera,A,Between 01-15/10,32.58
Bugesera,A,Between16- 31/10,7.58
Bugesera,A,After 31/10,2.98
Bugesera,A,Other seasons,29.97
Burera,A,Before 01/09,19.47
Burera,A,Between 01-15 /09,38.83
Burera,A,Between 16- 30/09,17.04
Burera,A,Between 01-15/10,6.08
Burera,A,Between16- 31/10,2.65
Burera,A,After 31/10,4.20
Burera,A,Other seasons,11.73
Gakenke,A,Before 01/09,3.74
Gakenke,A,Between 01-15 /09,23.69
Gakenke,A,Between 16- 30/09,12.19
Gakenke,A,Between 01-15/10,6.26
Gakenke,A,Between16- 31/10,2.46
Gakenke,A,After 31/10,6.31
Gakenke,A,Other seasons,45.35
Gasabo,A,Before 01/09,2.29
Gasabo,A,Between 01-15 /09,35.53
Gasabo,A,Between 16- 30/09,22.52
Gasabo,A,Between 01-15/10,5.63
Gasabo,A,Between16- 31/10,1.32
Gasabo,A,After 31/10,1.14
Gasabo,A,Other seasons,31.57
Gatsibo,A,Before 01/09,1.29
Gatsibo,A,Between 01-15 /09,24.92
Gatsibo,A,Between 16- 30/09,27.59
Gatsibo,A,Between 01-15/10,9.76
Gatsibo,A,Between16- 31/10,1.58
Gatsibo,A,After 31/10,1.00
Gatsibo,A,Other seasons,33.86
Gicumbi,A,Before 01/09,6.26
Gicumbi,A,Between 01-15 /09,42.58
Gicumbi,A,Between 16- 30/09,14.32
Gicumbi,A,Between 01-15/10,6.04
Gicumbi,A,Between16- 31/10,1.34
Gicumbi,A,After 31/10,3.88
Gicumbi,A,Other seasons,25.58
Gisagara,A,Before 01/09,3.15
Gisagara,A,Between 01-15 /09,19.82
Gisagara,A,Between 16- 30/09,19.88
Gisagara,A,Between 01-15/10,24.28
Gisagara,A,Between16- 31/10,4.59
Gisagara,A,After 31/10,3.67
Gisagara,A,Other seasons,24.61
Huye,A,Before 01/09,5.39
Huye,A,Between 01-15 /09,15.17
Huye,A,Between 16- 30/09,18.50
Huye,A,Between 01-15/10,24.26
Huye,A,Between16- 31/10,5.77
Huye,A,After 31/10,3.20
Huye,A,Other seasons,27.71
Kamonyi,A,Before 01/09,1.13
Kamonyi,A,Between 01-15 /09,4.85
Kamonyi,A,Between 16- 30/09,17.68
Kamonyi,A,Between 01-15/10,28.57
Kamonyi,A,Between16- 31/10,4.78
Kamonyi,A,After 31/10,6.04
Kamonyi,A,Other seasons,36.94
Karongi,A,Before 01/09,5.04
Karongi,A,Between 01-15 /09,18.42
Karongi,A,Between 16- 30/09,26.95
Karongi,A,Between 01-15/10,12.28
Karongi,A,Between16- 31/10,3.57
Karongi,A,After 31/10,2.84
Karongi,A,Other seasons,30.89
Kayonza,A,Before 01/09,1.31
Kayonza,A,Between 01-15 /09,5.90
Kayonza,A,Between 16- 30/09,23.00
Kayonza,A,Between 01-15/10,23.60
Kayonza,A,Between16- 31/10,10.85
Kayonza,A,After 31/10,5.18
Kayonza,A,Other seasons,30.15
Kicukiro,A,Before 01/09,1.05
Kicukiro,A,Between 01-15 /09,7.19
Kicukiro,A,Between 16- 30/09,13.47
Kicukiro,A,Between 01-15/10,38.92
Kicukiro,A,Between16- 31/10,6.89
Kicukiro,A,After 31/10,4.34
Kicukiro,A,Other seasons,28.14
Kirehe,A,Before 01/09,0.65
Kirehe,A,Between 01-15 /09,3.10
Kirehe,A,Between 16- 30/09,11.29
Kirehe,A,Between 01-15/10,38.08
Kirehe,A,Between16- 31/10,14.39
Kirehe,A,After 31/10,2.80
Kirehe,A,Other seasons,29.69
Muhanga,A,Before 01/09,3.51
Muhanga,A,Between 01-15 /09,14.19
Muhanga,A,Between 16- 30/09,10.91
Muhanga,A,Between 01-15/10,14.11
Muhanga,A,Between16- 31/10,4.96
Muhanga,A,After 31/10,9.38
Muhanga,A,Other seasons,42.94
Musanze,A,Before 01/09,30.88
Musanze,A,Between 01-15 /09,30.78
Musanze,A,Between 16- 30/09,7.55
Musanze,A,Between 01-15/10,5.64
Musanze,A,Between16- 31/10,1.91
Musanze,A,After 31/10,6.41
Musanze,A,Other seasons,16.83
Ngoma,A,Before 01/09,1.25
Ngoma,A,Between 01-15 /09,8.54
Ngoma,A,Between 16- 30/09,24.41
Ngoma,A,Between 01-15/10,22.92
Ngoma,A,Between16- 31/10,5.74
Ngoma,A,After 31/10,3.00
Ngoma,A,Other seasons,34.15
Ngororero,A,Before 01/09,11.24
Ngororero,A,Between 01-15 /09,33.14
Ngororero,A,Between 16- 30/09,8.74
Ngororero,A,Between 01-15/10,5.00
Ngororero,A,Between16- 31/10,1.47
Ngororero,A,After 31/10,4.56
Ngororero,A,Other seasons,35.86
Nyabihu,A,Before 01/09,24.60
Nyabihu,A,Between 01-15 /09,26.82
